# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

45.170.242.224/27,CO,CO-MET,Fuente de oro,
45.170.242.96/27,CO,CO-ANT,bello,
168.121.208.0/22,AR,AR-B,lanus,
181.118.208.0/20,AR,AR-B,lanus,
190.4.112.0/20,AR,AR-B,lanus,
190.184.240.0/20,AR,AR-B,lanus,
2800:ab0::/32,AR,AR-B,lanus,
181.119.184.0/23,EC,EC-G,Guayaquil,
190.9.56.0/24,CL,CL-ML,Talca,
190.9.57.0/24,CL,CL-ML,Talca,
190.9.61.0/24,CL,CL-ML,Talca,
190.9.62.0/24,CL,CL-ML,Talca,
190.9.63.0/24,CL,CL-ML,Talca,
45.234.160.0/23,AR,AR-B,Buenos Aires,
2803:10a0::/32,AR,AR-B,Buenos Aires,
200.13.42.0/23,AR,AR-B,Capital Federal,
2801:0:1c0::/45,CO,CO-SAN,Bucaramanga,
45.233.100.0/22,EC,EC-A,CUENCA,
2803:a0a0::/32,EC,EC-A,CUENCA,
190.9.58.0/24,CL,CL-ML,Curico,
190.9.59.0/24,CL,CL-AR,Temuco,
190.9.60.0/24,CL,CL-AR,Temuco,
138.36.236.0/22,AR,AR-S,Rosario,
138.219.40.0/22,AR,AR-S,Rosario,
168.181.184.0/22,AR,AR-S,Rosario,
168.197.48.0/22,AR,AR-S,Rosario,
179.43.112.0/20,AR,AR-S,Rosario,
200.58.96.0/20,AR,AR-S,Rosario,
200.58.112.0/20,AR,AR-S,Rosario,
2800:6c0::/32,AR,AR-S,Rosario,
138.219.56.0/22,CL,CL-RM,Santiago,
170.233.192.0/22,CL,CL-RM,Santiago,
170.245.48.0/22,CL,CL-RM,Santiago,
2803:5e40::/32,CL,CL-RM,Santiago,
181.225.130.0/24,SV,SV-SS,San Salvador,
2803:8760::/32,AR,AR-L,Trenel,
201.150.85.0/24,SV,SV-PA,San Luis Talpa,
181.225.133.0/24,SV,SV-SS,Antiguo Cuscatl�n,
181.225.131.0/24,SV,SV-SS,Antiguo Cuscatl�n,
191.102.16.0/22,AR,AR-B,La Reja,
190.99.112.0/23,AR,AR-B,La Reja,
191.102.24.0/22,AR,AR-B,La Reja,
181.119.186.0/23,EC,EC-P,Quito,
2803:5ce0:a00::/40,PE,PE-LIM,Lima,
45.175.36.0/22,VE,VE-A,Caracas,
201.182.80.0/22,AR,AR-S,El Trebol,
2803:4420::/32,AR,AR-S,El Trebol,
45.162.204.0/22,CR,CR-H,Heredia,
2801:13:f000::/48,CR,CR-H,Heredia,
167.28.0.0/16,CL,CL-RM,SANTIAGO,
170.233.152.0/22,CL,CL-RM,SANTIAGO,
2801:1b:9000::/48,CL,CL-RM,SANTIAGO,
179.61.8.0/22,AR,AR-M,Malarg�e,
