# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

190.210.154.0/24,AR,AR-X,Cordoba,
190.210.155.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.156.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.160.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.158.0/24,AR,AR-S,Rosario,
190.210.159.0/24,AR,AR-X,Cordoba,
190.210.164.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.166.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.167.0/24,AR,AR-S,Rosario,
190.210.168.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.176.0/20,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.192.0/20,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.208.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.216.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.220.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.221.0/24,AR,AR-X,Cordoba,
190.210.222.0/24,AR,AR-S,Rosario,
190.210.223.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.224.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.228.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.229.0/24,AR,AR-S,Rosario,
190.210.230.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.232.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
190.210.240.0/20,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.160.0/24,AR,AR-X,Cordoba,
200.61.161.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.162.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.164.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.168.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.176.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.180.0/24,AR,AR-S,Rosario,
200.61.181.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.182.0/24,AR,AR-X,Cordoba,
200.61.183.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.184.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.186.0/24,AR,AR-S,Rosario,
200.61.187.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.188.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.61.190.0/24,AR,AR-X,Cordoba,
200.61.191.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.64.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.66.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.67.0/24,AR,AR-X,Cordoba,
200.68.68.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.72.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.73.0/24,AR,AR-S,Rosario,
200.68.74.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.76.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.80.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.88.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.90.0/24,AR,AR-S,Rosario,
200.68.91.0/24,AR,AR-X,Cordoba,
200.68.92.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.94.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.95.0/24,AR,AR-S,Rosario,
200.68.96.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.97.0/24,AR,AR-X,Cordoba,
200.68.98.0/24,AR,AR-X,Cordoba,
200.68.99.0/24,AR,AR-S,Rosario,
200.68.100.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.104.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.68.112.0/20,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.208.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.217.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.192.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.196.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.198.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.199.0/24,AR,AR-X,Cordoba,
200.69.200.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.202.0/24,AR,AR-X,Cordoba,
200.69.203.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.204.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.206.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.207.0/24,AR,AR-S,Rosario,
200.69.213.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.214.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.216.0/24,AR,AR-S,Rosario,
200.69.218.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.220.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.224.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.226.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.227.0/24,AR,AR-S,Rosario,
200.69.228.0/24,AR,AR-X,Cordoba,
200.69.229.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.230.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.231.0/24,AR,AR-X,Cordoba,
200.69.232.0/23,AR,AR-S,Rosario,
200.69.234.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.236.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.237.0/24,AR,AR-S,Rosario,
200.69.238.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.240.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.244.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.245.0/24,AR,AR-X,Cordoba,
200.69.246.0/24,AR,AR-S,Rosario,
200.69.247.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.248.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.69.250.0/24,AR,AR-X,Cordoba,
200.69.251.0/24,AR,AR-S,Rosario,
200.69.252.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.128.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
45.239.28.0/22,CL,CL-BI,EL CARMEN,
2803:1ca0::/32,CL,CL-BI,EL CARMEN,
45.239.28.0/24,CL,CL-BI,EL CARMEN,
45.239.29.0/24,CL,CL-BI,EL CARMEN,
45.239.30.0/24,CL,CL-BI,EL CARMEN,
45.239.31.0/24,CL,CL-BI,EL CARMEN,
177.221.141.0/24,CL,CL-RM,Santiago,
177.221.140.0/24,CL,CL-RM,Santiago,
2803:a9e0::/32,CL,CL-RM,Santiago,
200.123.130.0/24,AR,AR-X,Cordoba,
200.123.131.0/24,AR,AR-S,Rosario,
200.123.132.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.134.0/24,AR,AR-S,Rosario,
200.123.135.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.136.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.140.0/24,AR,AR-S,Rosario,
200.123.141.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.142.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.144.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.145.0/24,AR,AR-X,Cordoba,
200.123.146.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.148.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.152.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.160.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.164.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.166.0/24,AR,AR-S,Rosario,
200.123.167.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.168.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.176.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.180.0/24,AR,AR-X,Cordoba,
200.123.181.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.182.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
200.123.184.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.192.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.194.0/23,AR,AR-X,Cordoba,
201.216.196.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.200.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.204.0/24,AR,AR-X,Cordoba,
201.216.205.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.206.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.208.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.216.0/24,AR,AR-S,Rosario,
201.216.217.0/24,AR,AR-X,Cordoba,
201.216.218.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.220.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.224.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.226.0/24,AR,AR-S,Rosario,
201.216.227.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.228.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.232.0/24,AR,AR-S,Rosario,
201.216.233.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.234.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.236.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.238.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.239.0/24,AR,AR-S,Rosario,
201.216.240.0/21,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.248.0/24,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.249.0/24,AR,AR-X,Cordoba,
201.216.250.0/23,AR,AR-C,Ciudad Autonoma de Buenos Aires,
201.216.252.0/22,AR,AR-C,Ciudad Autonoma de Buenos Aires,
45.163.28.0/23,CO,CO-CUN,Bogota DC,
45.163.30.0/24,CO,CO-CUN,Bogota DC,
170.239.154.0/23,CO,CO-CUN,Bogota DC,
2803:79d0::/32,PE,PE-TUM,TUMBES,
131.0.136.0/22,CO,CO-ANT,Medellin,
2803:e580::/32,CO,CO-ANT,Medellin,
2800:40:1c::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:1d::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:1f::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:20::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:21::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:22::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:23::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:24::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:25::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:26::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:27::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:29::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:2b::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:30::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:12::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:13::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:14::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:15::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:16::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:17::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:18::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:19::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:1a::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:1b::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:28::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:2a::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:2f::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:31::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:33::/48,AR,AR-C,Ciudad Autonoma de Buenos Aires,
2800:40:32::/48,AR,AR-S,Rosario,
2800:40:35::/48,AR,AR-S,Rosario,
2800:40:36::/48,AR,AR-X,Cordoba,
45.183.140.0/22,EC,EC-P,Santo Domingo de los Colorados,
138.185.80.0/22,AR,AR-S,Funes,
186.148.112.0/21,AR,AR-S,Funes,
191.102.40.0/21,AR,AR-S,Funes,
190.94.160.0/20,AR,AR-S,Funes,
45.189.56.0/22,EC,EC-A,Paute,
186.190.255.0/24,CO,CO-CUN,Tocancipa,
186.190.254.0/24,CO,CO-CUN,Tocancipa,
168.194.198.0/24,US,US-FL,Miami,
190.3.168.0/24,CL,CL-VS,Vi�a del Mar,
190.3.169.0/24,CL,CL-VS,Vi�a del Mar,
190.3.170.0/24,CL,CL-VS,Vi�a del Mar,
190.3.171.0/24,CL,CL-VS,Vi�a del Mar,
190.3.173.0/24,CL,CL-RM,Santiago,
190.3.174.0/24,CL,CL-RM,Santiago,
168.194.199.0/24,CL,CL-RM,Santiago,
187.102.242.0/23,AR,AR-B,Guernica,
187.102.240.0/23,AR,AR-B,Tres Lomas,
2803:e1e0::/32,AR,AR-B,Tres Lomas,
138.94.120.0/22,HN,HN-FM,Tegucigalpa,
45.173.216.0/22,GT,GT-GU,Mixco,
45.162.184.0/26,CL,CL-RM,Santiago,
2803:49a0::/32,CL,CL-RM,Santiago,
45.162.184.0/22,CL,CL-RM,Santiago,
45.170.133.33/32,VE,VE-A,Caracas,
45.4.92.0/24,PE,PE-TUM,TUMBES,
2803:9810:3500::/40,BR,BR-SP,Sao Paulo,
2803:d3e0::/32,CL,CL-RM,Santiago,
167.249.29.0/24,CL,CL-RM,Santiago,
167.249.30.0/24,CL,CL-RM,Santiago,
167.249.31.0/24,CL,CL-RM,Santiago,
45.238.60.0/22,CL,CL-CO,Vicu�a,
170.210.72.0/22,AR,AR-B,Quilmes,
170.210.56.0/21,AR,AR-S,Rosario,
179.60.244.0/32,EC,EC-I,IBARRA,
2803:b40::/32,AR,AR-N,Comandante Andresito,
138.219.216.0/24,AR,AR-N,Campo Viera,
2803:1a40::/32,AR,AR-N,Campo Viera,
45.4.93.0/24,PE,PE-TUM,TUMBES,
45.231.184.0/22,CO,CO-CAU,Popay�n,
2801:12:7000::/48,CO,CO-CAU,Popay�n,
200.39.152.0/22,PE,PE-AMA,CHACHAPOYAS,
2803:49e0::/32,PE,PE-AMA,CHACHAPOYAS,
179.62.210.0/24,AR,AR-A,General Guemes,
179.109.100.0/22,PY,PY-19,Loma Plata,
2803:45e0::/32,PY,PY-19,Loma Plata,
138.219.248.0/22,AR,AR-B,Virrey del Pino,
2803:da40::/32,AR,AR-B,Virrey del Pino,
186.148.192.0/22,VE,VE-V,Maracaibo,
2803:aee0::/32,VE,VE-V,Maracaibo,
138.118.200.0/22,VE,VE-V,San Francisco,
2803:23e0::/32,VE,VE-V,San Francisco,
45.191.48.0/22,CL,CL-CO,Salamanca,
2803:4e0::/35,CL,CL-CO,Salamanca,
2803:4e0:2000::/35,CL,CL-CO,Illapel,
2803:7ca0::/35,CL,CL-CO,Vicu�a,
168.197.88.0/23,CL,CL-CO,Vicu�a,
168.197.90.0/23,CL,CL-CO,Monte Patria,
190.6.120.0/22,CL,CL-CO,Ovalle,
181.225.142.0/23,CL,CL-CO,Combarbal�,
181.225.144.0/21,CL,CL-CO,Ovalle,
190.112.48.0/22,CL,CL-CO,Ovalle,
190.6.124.0/22,CL,CL-CO,Illapel,
2803:a100::/35,CL,CL-CO,Ovalle,
138.219.218.0/24,AR,AR-N,CAMPO GRANDE,
2803:a100:6000::/35,CL,CL-CO,Ovalle,
2803:a100:8000::/35,CL,CL-CO,Monte Patria,
2803:a100:a000::/35,CL,CL-CO,Combarbal�,
200.108.64.0/24,AR,AR-C,Buenos Aires,
2803:9810:3800::/40,AR,AR-C,Buenos Aires,
2803:9810:3900::/40,AR,AR-C,Buenos Aires,
177.73.156.0/22,AR,AR-S,Rosario,
2801:17a::/44,AR,AR-S,Rosario,
2803:4f20::/32,AR,AR-S,Rosario,
45.70.8.0/24,AR,AR-H,General Jose de San Martin,
45.173.8.0/22,CO,CO-NSA,Cucuta,
2803:f860::/32,CO,CO-NSA,Cucuta,
177.52.221.0/24,DO,DO-25,Santiago,
2803:c010::/32,DO,DO-25,Santiago,
45.178.84.0/22,AR,AR-L,General Acha,
2803:6e60::/32,AR,AR-L,General Acha,
138.219.217.0/24,AR,AR-N,Campo Viera,
138.219.219.0/24,AR,AR-N,Campo Grande,
179.51.204.0/24,AR,AR-B,Capilla del Se�or,
2803:7fe0::/32,AR,AR-B,Capilla del Se�or,
168.227.24.0/22,AR,AR-B,Pergamino,
2801:0:141::/48,AR,AR-B,Pergamino,
200.14.116.0/24,AR,AR-B,Jun�n,
200.124.176.0/21,AR,AR-B,Jun�n,
2801:0:140::/48,AR,AR-B,Jun�n,
45.238.20.0/22,CL,CL-RM,Santiago,
2803:f4a0::/32,CL,CL-RM,Santiago,
131.161.88.0/22,AR,AR-Z,R�o Gallegos,
2801:1b:a000::/48,AR,AR-Z,R�o Gallegos,
131.72.159.0/24,AR,AR-B,General Alvear,
179.49.236.0/22,CL,CL-RM,Santiago,
190.171.64.0/22,CL,CL-AR,Puc�n,
181.191.140.0/23,AR,AR-M,San Rafael,
45.4.95.0/24,PE,PE-LAL,TRUJILLO,
2803:87e0::/32,EC,EC-S,Macas,
190.109.124.0/24,AR,AR-X,Cordoba,
190.109.124.0/22,AR,AR-X,Cordoba,
190.109.125.0/24,AR,AR-X,Cordoba,
190.109.126.0/24,AR,AR-X,Cordoba,
190.109.127.0/24,AR,AR-X,Cordoba,
2803:27e0::/32,AR,AR-X,Cordoba,
45.4.94.0/24,PE,PE-HUC,HUANUCO,
2803:9810:3b00::/40,BR,BR-DF,Brasilia,
45.186.200.0/22,VE,VE-V,Maracaibo,
2803:2760::/32,VE,VE-V,Maracaibo,
138.117.112.0/22,AR,AR-B,Villa Gesell,
181.192.0.0/19,AR,AR-B,Villa Gesell,
2803:2300::/32,AR,AR-B,Villa Gesell,
179.0.225.0/24,AR,AR-X,Santa Rosa de Calamuchita,
168.121.184.0/22,UY,UY-MO,Montevideo,
181.16.129.0/24,AR,AR-X,Almafuerte,
45.186.44.0/22,AR,AR-B,J. B. Alberdi,
45.174.178.0/23,AR,AR-B,tandil,
170.238.240.0/22,AR,AR-X,Chaz�n,
200.115.48.0/20,AR,AR-X,Chaz�n,
2803:1900::/32,AR,AR-X,Chaz�n,
201.219.224.0/21,UY,UY-MO,Montevideo,
2801:0:2000::/36,UY,UY-MO,Montevideo,
45.161.170.0/23,AR,AR-X,Miramar,
45.189.188.0/22,PE,PE-LIM,Lima,
2803:b0e0::/32,PE,PE-LIM,Lima,
170.84.128.0/25,AR,AR-B,Trenque Lauquen,
170.84.128.128/25,AR,AR-B,Trenque Lauquen,
170.84.129.0/25,AR,AR-B,Trenque Lauquen,
170.84.129.128/25,AR,AR-B,Trenque Lauquen,
170.84.130.0/25,AR,AR-B,Trenque Lauquen,
170.84.130.128/25,AR,AR-B,Trenque Lauquen,
170.84.131.0/25,AR,AR-B,Trenque Lauquen,
170.84.131.128/25,AR,AR-B,Trenque Lauquen,
190.0.234.0/24,AR,AR-B,Trenque Lauquen,
190.0.237.0/24,AR,AR-B,Trenque Lauquen,
190.123.144.0/25,AR,AR-B,Trenque Lauquen,
170.82.224.0/22,PE,PE-LIM,Lima,
190.123.144.128/25,AR,AR-B,Trenque Lauquen,
190.123.145.0/25,AR,AR-B,Trenque Lauquen,
190.123.145.128/25,AR,AR-B,Trenque Lauquen,
190.123.146.0/25,AR,AR-B,Trenque Lauquen,
190.123.146.128/25,AR,AR-B,Trenque Lauquen,
190.123.147.0/25,AR,AR-B,Trenque Lauquen,
190.123.147.128/25,AR,AR-B,Trenque Lauquen,
190.123.148.0/25,AR,AR-B,Trenque Lauquen,
190.123.148.128/25,AR,AR-B,Trenque Lauquen,
190.123.154.0/25,AR,AR-B,Trenque Lauquen,
190.123.154.128/25,AR,AR-B,Trenque Lauquen,
190.123.155.0/25,AR,AR-B,Trenque Lauquen,
190.123.155.128/25,AR,AR-B,Trenque Lauquen,
190.123.156.0/25,AR,AR-B,Trenque Lauquen,
190.123.156.128/25,AR,AR-B,Trenque Lauquen,
190.123.157.0/25,AR,AR-B,Trenque Lauquen,
190.123.157.128/25,AR,AR-B,Trenque Lauquen,
190.123.158.0/25,AR,AR-B,Trenque Lauquen,
190.123.158.128/25,AR,AR-B,Trenque Lauquen,
190.123.159.0/25,AR,AR-B,Trenque Lauquen,
190.123.159.128/25,AR,AR-B,Trenque Lauquen,
190.2.80.0/24,AR,AR-B,Trenque Lauquen,
190.2.81.0/24,AR,AR-B,Trenque Lauquen,
190.2.82.0/24,AR,AR-B,Trenque Lauquen,
190.2.84.0/25,AR,AR-B,30 de Agosto,
190.2.84.128/25,AR,AR-B,30 de Agosto,
190.2.85.0/25,AR,AR-B,30 de Agosto,
190.2.85.128/25,AR,AR-B,30 de Agosto,
190.2.87.0/25,AR,AR-B,30 de Agosto,
190.2.87.128/25,AR,AR-B,30 de Agosto,
190.2.86.0/25,AR,AR-B,30 de Agosto,
190.2.86.128/25,AR,AR-B,30 de Agosto,
190.0.232.0/25,AR,AR-B,Garre,
190.0.232.128/25,AR,AR-B,Garre,
190.0.233.0/25,AR,AR-B,Beruti,
190.0.233.128/25,AR,AR-B,Beruti,
177.222.96.0/19,BO,BO-L,La Paz,
168.196.208.0/23,AR,AR-M,Palmira,
45.6.215.0/24,AR,AR-M,Palmira,
2803:67e0::/32,AR,AR-M,Palmira,
179.60.224.0/22,GT,GT-GU,Guatemala,
2803:95e0::/32,GT,GT-GU,Guatemala,
45.184.228.0/22,AR,AR-B,Pehuajo,
2803:b360::/32,AR,AR-B,Pehuajo,
138.118.48.0/22,AR,AR-B,La Plata,
181.114.224.0/22,AR,AR-B,Mar del Plata,
181.114.228.0/23,AR,AR-B,Mar del Plata,
181.114.230.0/23,AR,AR-B,Balcarce,
131.0.196.0/22,BO,BO-L,La Paz,
177.222.32.0/19,BO,BO-L,La Paz,
181.114.96.0/19,BO,BO-L,La Paz,
181.188.128.0/18,BO,BO-L,La Paz,
190.104.0.0/19,BO,BO-L,La Paz,
200.73.96.0/21,BO,BO-L,La Paz,
2800:320::/32,BO,BO-L,La Paz,
45.226.228.0/22,AR,AR-B,Munro,
2803:1e20::/32,AR,AR-B,Munro,
190.109.120.0/24,EC,EC-R,Babahoyo,
190.109.121.0/24,EC,EC-R,Babahoyo,
190.109.122.0/24,EC,EC-R,Babahoyo,
2803:a7e0::/32,EC,EC-R,Babahoyo,
190.109.123.0/24,EC,EC-R,Babahoyo,
45.162.2.0/24,CO,CO-CAU,Yumbo,
45.162.0.0/24,CO,CO-DC,Bogot�,
45.162.1.0/24,CO,CO-DC,Bogot�,
45.191.196.0/22,PE,PE-LIM,Lima,
2803:34e0::/32,PE,PE-LIM,Lima,
45.179.92.0/22,AR,AR-B,Campana,
2803:e60::/32,AR,AR-B,Campana,
186.26.112.0/20,CR,CR-SJ,Pavas,
2803:f340::/32,CR,CR-SJ,Pavas,
189.50.208.0/23,CO,CO-QUI,Armenia,
2801:12:2800::/48,CO,CO-QUI,Armenia,
189.85.40.0/22,CO,CO-CAL,Riosucio,
2803:21e0::/32,CO,CO-CAL,Riosucio,
186.26.115.0/24,CR,CR-SJ,Pavas,
138.121.240.0/22,AR,AR-X,Villa Dolores,
2803:6c40::/32,AR,AR-X,Villa Dolores,
181.16.173.0/24,AR,AR-X,Rafael Garcia,
2803:7010::/32,VE,VE-V,Maracaibo,
179.42.172.0/22,CO,CO-BOY,Villa de Leyva,
2803:ac80::/32,CO,CO-BOY,Villa de Leyva,
131.161.220.0/22,EC,EC-O,SANTA ROSA,
2803:ade0::/32,EC,EC-O,SANTA ROSA,
186.43.128.0/18,EC,EC-A,Cuenca,
186.43.192.0/18,EC,EC-A,Cuenca,
190.94.128.0/19,EC,EC-A,Cuenca,
191.100.0.0/16,EC,EC-A,Cuenca,
200.55.224.0/20,EC,EC-A,Cuenca,
201.238.128.0/19,EC,EC-A,Cuenca,
201.238.160.0/20,EC,EC-A,Cuenca,
201.238.176.0/20,EC,EC-A,Cuenca,
187.62.92.0/22,AR,AR-A,Salta,
2803:6ce0::/32,AR,AR-A,Salta,
190.107.232.0/21,EC,EC-C,Tulcan,
2803:d180::/32,EC,EC-C,Tulcan,
45.236.91.248/32,CO,CO-NSA,Cucuta,
45.236.91.247/32,MX,MX-NLE,Monterrey,
45.236.91.246/32,CA,CA-QC,Montreal,
45.236.91.245/32,US,US-FL,Miami,
200.108.130.0/24,PY,PY-ASU,Asuncion,
138.121.84.0/22,AR,AR-C,Buenos Aires,
2803:8c40::/32,AR,AR-C,Buenos Aires,
196.32.32.0/19,TT,,,
191.241.142.0/24,AR,AR-Z,Colonia Las Heras,
45.190.125.0/24,US,US-FL,CORAL GABLES,
191.241.141.0/24,AR,AR-Z,Pico Truncado,
191.241.140.0/24,AR,AR-Z,Pico Truncado,
138.122.108.0/22,EC,EC-G,Milagro,
138.186.120.0/22,CL,CL-LL,Puerto Varas,
170.79.100.0/22,CL,CL-LL,Puerto Varas,
2803:4a40::/32,CL,CL-LL,Puerto Varas,
45.177.124.0/22,EC,EC-A,Cuenca,
2803:2a60::/32,EC,EC-A,Cuenca,
186.219.48.0/22,EC,EC-P,Quito,
2803:e3e0::/32,EC,EC-P,Quito,
186.209.208.0/22,CL,CL-VS,Curacavi,
2803:d7e0::/32,CL,CL-VS,Curacavi,
2801:15:a800::/48,CO,CO-DC,Bogota,
45.162.72.0/24,EC,EC-P,Quito,
45.162.73.0/24,EC,EC-P,Quito,
45.162.74.0/24,EC,EC-P,Quito,
45.162.75.0/24,EC,EC-P,Quito,
181.16.236.0/24,AR,AR-X,El Tio,
45.225.216.0/22,AR,AR-S,ROSARIO,
45.224.188.0/23,AR,AR-E,Parana,
45.224.190.0/23,AR,AR-S,Rosario,
207.191.164.0/22,AR,AR-M,Rivadavia,
2803:12e0::/32,AR,AR-M,Rivadavia,
190.106.112.0/24,DO,DO-01,Santo Domingo,
190.106.113.0/24,DO,DO-01,Santo Domingo,
190.111.132.0/22,AR,AR-X,Cruz Alta,
2803:d8e0::/32,US,US-FL,CORAL GABLES,
170.83.216.0/25,EC,EC-M,Santa Ana,
170.83.216.128/25,EC,EC-M,24 de Mayo,
190.109.32.0/19,AR,AR-B,Bahia Blanca,
2803:9000::/32,AR,AR-B,Bahia Blanca,
